year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2021,68251,Emilee Ebert,Kansas St.,21,13,11,12,44,6,15,37,15,0,0,0
2021,68252,Kailyn Watkins,Alcorn St.,6,6,2,0,6,0,6,15,3,0,0,0
2021,68257,Taylor Williams,Western Michigan,92,87,21,8,16,3,7,20,5,0,0,0
2021,68263,Danyel Middleton,Marquette,0,0,0,0,1,0,0,0,0,0,0,0
2021,68265,Britney Onyeje,Houston,22,24,11,10,30,5,49,123,49,0,0,0
2021,68276,Peyton Carter,Tennessee Tech,6,10,3,1,1,0,11,23,10,0,0,0
2021,68280,Sara Zabrecky,St. John's,0,2,0,2,5,1,4,9,3,0,0,0
2021,68282,Maddie Krull,South Dakota,54,56,17,19,49,4,11,37,11,0,0,0
2021,68283,Evelien Lutje Schipholt,California,40,36,22,4,11,1,0,5,0,1,0,0
2021,68284,Kyah Watson,South Dakota,5,2,3,0,2,0,3,13,3,0,0,0
2021,68286,Tiarra Brown,Grand Canyon,64,59,22,15,40,10,14,28,12,0,0,0
2021,68287,Kylee Lewandowski,Richmond,1,3,0,0,2,0,2,6,2,0,0,0
2021,68289,Morgan Hansen,South Dakota,12,12,5,3,16,1,17,38,14,0,0,0
2021,68290,Addie Budnik,Richmond,63,38,46,9,16,6,22,46,21,0,0,0
2021,68293,Sophia Nolan,St. John's,0,1,0,0,2,0,0,1,0,0,0,0
2021,68309,Nika Muhl,Connecticut,13,17,5,3,2,1,24,46,23,0,0,0
2021,68313,Morganne Andrews,Navy,7,5,6,5,20,5,0,1,0,0,0,0
2021,68314,Sydne Watts,Navy,9,3,4,7,21,3,0,7,0,0,0,0
2021,68318,Natalie Andersen,IU Indy,4,4,3,7,10,3,27,40,27,0,0,0
2021,68332,Katie Keitges,Nebraska Omaha,1,1,0,0,0,0,1,4,1,0,0,0
2021,68334,Marisa Lee,Hartford,13,14,7,3,5,2,0,2,0,0,0,0
2021,68336,Shateah Wetering,Iowa,1,1,0,0,1,0,0,2,0,0,0,0
2021,68339,Lauren Jensen,Iowa,1,3,1,1,4,1,6,11,5,0,0,0
2021,68342,Tyi Skinner,Delaware,17,15,6,29,51,4,29,90,15,0,0,0
2021,68345,Sofia Persson,San Francisco,4,4,2,4,5,3,2,20,2,0,0,0
2021,68347,Rachel Kent,Saint Louis,11,10,7,16,34,10,51,69,48,0,0,0
2021,68350,Ava Therien,Loyola MD,10,17,6,7,21,4,11,15,11,0,0,0
2021,68353,Alexi Hempe,South Dakota,5,1,2,2,9,1,8,18,7,0,0,0
2021,68355,Taylor Donaldson,New Mexico St.,2,4,1,4,1,1,0,4,0,0,0,0
2021,68357,Nuria Cunill,Eastern Washington,21,18,10,10,15,6,0,0,0,0,0,0
2021,68360,Somer Wilson,South Carolina St.,1,3,1,4,10,4,6,19,5,0,0,0
2021,68366,Destiny Thomas,UCF,22,18,17,2,7,1,0,0,0,0,0,0
2021,68371,Da'Ja Hamilton,Nevada,31,36,7,38,60,5,28,66,20,0,0,0
2021,68372,Jacinta Buckley,UNLV,9,9,4,4,19,3,8,22,6,0,0,0
2021,68373,Caroline Strande,Minnesota,3,3,1,6,6,3,6,10,6,0,0,0
2021,68374,Lonasia Brewer,Akron,67,58,40,12,24,4,6,13,4,0,0,0
2021,68375,Madison Grange,Utah Valley,13,5,12,9,9,8,17,28,17,0,0,0
2021,68376,Katie Beyer,Valparaiso,0,0,0,0,0,0,0,0,0,0,0,0
