season,player_name,team,position,class,draft_pick,age,listed_height,statistical_height,height_delta_inches,height_delta_percentile,feel_plus,feel_plus_percentile,rimfluence,rimfluence_off,rimfluence_def,rimfluence_percentile,poss_created_100,poss_created_100_percentile,gp,mpg,min_pct
2026,Maria Mejia,UC Riverside,G,Fr,,18.5,"5'11""",N/A,,,100.02,52.94,N/A,N/A,N/A,,16.41,38.02,27.0,7.5,15.4
2026,Lucia Moreno Tallon,UC Riverside,F,Fr,,18.5,"6'2""",N/A,,,56.89,5.81,N/A,N/A,N/A,,10.05,4.75,26.0,7.7,16.6
2026,Taylor Swanson,UC Riverside,F,Fr,,18.5,"5'11""","6'0""",0.73,62.98,79.66,25.91,N/A,N/A,N/A,,17.65,46.77,30.0,17.5,43.9
2026,Nicora Patrick,Central Connecticut,F,Fr,,18.5,"5'11""","5'10""",-0.83,33.1,91.43,41.61,N/A,N/A,N/A,,16.23,36.87,28.0,14.9,36.0
2026,Andjela Marojevic,Utah St.,F,So,,19.5,"5'10""",N/A,,,71.67,17.24,N/A,N/A,N/A,,19.93,63.48,16.0,6.9,8.7
2026,Riley Burd,FIU,G,Jr,,20.5,"6'0""","5'10""",-2.19,13.25,95.46,46.77,N/A,N/A,N/A,,9.09,2.84,27.0,15.3,31.7
2026,Emma Tolan,Oklahoma,F,Fr,,18.5,"5'11""",N/A,,,89.61,39.0,N/A,N/A,N/A,,8.99,2.69,22.0,7.6,12.2
2026,Sienna Betts,UCLA,F,Fr,,18.5,"6'4""","6'2""",-1.91,16.83,135.16,88.46,N/A,N/A,N/A,,22.2,75.47,28.0,14.1,26.0
2026,Lena Bilic,UCLA,F,Fr,,18.5,"6'3""","5'11""",-3.88,2.59,177.16,98.44,N/A,N/A,N/A,,13.86,19.99,33.0,12.1,26.3
2026,Blessing Teamer,Little Rock,F,Jr,,20.5,"5'10""","5'11""",1.26,72.81,94.8,46.25,N/A,N/A,N/A,,11.87,10.8,28.0,10.5,25.6
2026,Pearson McVay,Little Rock,F,So,,19.5,"6'2""","6'0""",-1.98,15.93,65.82,11.98,N/A,N/A,N/A,,13.42,17.75,29.0,10.3,26.1
2026,Kaila Richards,Bucknell,F,Fr,,18.5,"5'6""",N/A,,,65.04,11.36,N/A,N/A,N/A,,21.1,69.59,29.0,12.8,30.6
2026,Erianna Gooden,Colorado,G,Fr,,18.5,"6'0""","5'11""",-1.36,24.67,99.33,52.1,N/A,N/A,N/A,,12.87,15.05,34.0,13.3,33.2
2026,Jessie Joaquim,New Mexico,F,Jr,,20.5,"6'2""","6'2""",-0.01,48.07,160.49,96.7,N/A,N/A,N/A,,12.22,12.22,30.0,18.0,42.1
2026,Grace McDonough,James Madison,F,Fr,,18.5,"6'2""","6'1""",-0.91,31.07,113.56,71.02,N/A,N/A,N/A,,14.64,25.57,35.0,18.3,45.4
2026,Laila Abdurraqib,New Mexico,G,Fr,,18.5,"5'6""",N/A,,,84.56,32.0,N/A,N/A,N/A,,18.63,53.5,32.0,20.5,51.1
2026,Delilah Soltys,James Madison,F,Fr,,18.5,"5'11""","6'0""",0.58,59.39,107.37,62.81,N/A,N/A,N/A,,13.26,16.89,35.0,18.9,46.8
2026,Cacia Antonio,New Mexico,F,Jr,,20.5,"5'11""","6'0""",0.92,66.76,115.73,73.06,N/A,N/A,N/A,,22.93,79.18,29.0,26.4,59.7
2026,Breah Franks,Queens,F,Fr,,18.5,"6'3""","6'0""",-2.8,7.46,97.74,49.74,N/A,N/A,N/A,,18.72,54.14,28.0,12.7,32.0
2026,Eveani Okwuosa,New Haven,G,Jr,,20.5,"5'9""","5'10""",0.69,62.09,158.95,96.25,N/A,N/A,N/A,,14.05,21.54,22.0,8.5,16.8
2026,Awa Fane,Mississippi St.,G,Jr,,20.5,"5'8""","5'10""",2.04,85.55,88.81,37.8,N/A,N/A,N/A,,17.13,43.11,22.0,10.3,18.3
2026,Sofia Alonso Hidalgo,Cal Baptist,F,Jr,,20.5,"5'6""",N/A,,,57.55,6.06,N/A,N/A,N/A,,21.79,73.3,8.0,12.3,7.6
2026,Jenna Twedt,Northern Iowa,G,Jr,,20.5,"5'8""","5'10""",1.77,81.94,89.24,38.46,N/A,N/A,N/A,,26.68,91.46,32.0,28.4,70.7
2026,Virginia Edmondson,Northern Iowa,F,Sr,,21.5,"5'9""","5'11""",1.7,80.99,104.83,59.42,N/A,N/A,N/A,,13.96,20.87,18.0,11.9,16.7
2026,Praise Matthews,Le Moyne,F,Fr,,18.5,"6'1""",N/A,,,67.37,13.33,N/A,N/A,N/A,,17.03,42.44,24.0,7.8,13.9
2026,Peyton Dincher,Le Moyne,F,Fr,,18.5,"5'0""",N/A,,,60.06,7.8,N/A,N/A,N/A,,16.76,40.45,32.0,18.4,45.3
2026,Ava Johnson,Le Moyne,F,Fr,,18.5,"5'0""",N/A,,,70.44,15.91,N/A,N/A,N/A,,24.31,84.95,19.0,7.3,10.7
2026,Lauren Walker,Northern Iowa,F,Fr,,18.5,"5'9""","5'11""",1.71,81.23,119.45,76.79,N/A,N/A,N/A,,17.13,43.06,26.0,11.7,23.7
2026,Sophia Bonnell,Le Moyne,G,So,,19.5,"5'5""",N/A,,,78.47,24.51,N/A,N/A,N/A,,13.88,20.18,16.0,6.5,7.7
